tile,url,size_bytes,sha256,crs,min_x,min_y,max_x,max_y,min_lon,min_lat,max_lon,max_lat,units
589_5267.laz,https://geodaten.bayern.de/odd_data/laser/589_5267.laz,300985200,0deb2e2cc6740caf1b2e15ba0b626c6c97da48de41904dee509949c10652334e,EPSG:25832,589000,5267000,590000,5268000,10.1828662,47.5501817,10.1963586,47.5593155,Regierungsbezirk Schwaben
589_5268.laz,https://geodaten.bayern.de/odd_data/laser/589_5268.laz,224614157,24c87458030c2fc773ddb401c3a14fa6a97df637458ac17faeb3c1176c93f363,EPSG:25832,589000,5268000,590000,5269000,10.1830687,47.5591776,10.1965635,47.5683114,Regierungsbezirk Schwaben
589_5269.laz,https://geodaten.bayern.de/odd_data/laser/589_5269.laz,41280770,6aad19e86106f21dd8b5cf3bc00dceaf68b4d3048c354aee6138707b0e04c16d,EPSG:25832,589000,5269000,590000,5270000,10.1832713,47.5681735,10.1967684,47.5773074,Regierungsbezirk Schwaben
589_5270.laz,https://geodaten.bayern.de/odd_data/laser/589_5270.laz,122328044,5a91eb888053adaab0fc374da05ecf44824ee8c43aaec60cc631f50d6fffdfaf,EPSG:25832,589000,5270000,590000,5271000,10.1834740,47.5771694,10.1969735,47.5863033,Regierungsbezirk Schwaben
590_5267.laz,https://geodaten.bayern.de/odd_data/laser/590_5267.laz,399830827,2b403ea6023513ef7cfb672fb8ff56e71297b65b94555b3e256d87d2cf5d52d6,EPSG:25832,590000,5267000,591000,5268000,10.1961538,47.5500423,10.2096484,47.5591776,Regierungsbezirk Schwaben
590_5268.laz,https://geodaten.bayern.de/odd_data/laser/590_5268.laz,185110458,f66f0dea70f1738b943c6d459bf78588de40b5962dfcb86c39023c36fb851855,EPSG:25832,590000,5268000,591000,5269000,10.1963586,47.5590382,10.2098556,47.5681735,Regierungsbezirk Schwaben
590_5269.laz,https://geodaten.bayern.de/odd_data/laser/590_5269.laz,104155369,53d67a5848dbb4e7d752db79149667ec86a2c8748aebb6988ffc22579ee047e6,EPSG:25832,590000,5269000,591000,5270000,10.1965635,47.5680341,10.2100628,47.5771694,Regierungsbezirk Schwaben
590_5270.laz,https://geodaten.bayern.de/odd_data/laser/590_5270.laz,130488427,9e7c1b944e47881259adf12c279aa6d1801e19127f41b1bdfa29f2516ae12bef,EPSG:25832,590000,5270000,591000,5271000,10.1967684,47.5770299,10.2102702,47.5861653,Regierungsbezirk Schwaben
591_5267.laz,https://geodaten.bayern.de/odd_data/laser/591_5267.laz,282227163,18ac67052bb7a10c8552af1ded18dbb55351345f0fbefd3877f325c55ef93b61,EPSG:25832,591000,5267000,592000,5268000,10.2094414,47.5499014,10.2229382,47.5590382,Regierungsbezirk Schwaben
591_5268.laz,https://geodaten.bayern.de/odd_data/laser/591_5268.laz,205512885,6ecfa7107ad415de3f2707546c87432cea58526ea285d467ea547062cf2a49e7,EPSG:25832,591000,5268000,592000,5269000,10.2096484,47.5588973,10.2231476,47.5680341,Regierungsbezirk Schwaben
591_5269.laz,https://geodaten.bayern.de/odd_data/laser/591_5269.laz,142448210,9dc92e2a40defb12e833a05b7d8c3bd8916d7cc1e1264b736778299609993aeb,EPSG:25832,591000,5269000,592000,5270000,10.2098556,47.5678931,10.2233571,47.5770299,Regierungsbezirk Schwaben
591_5270.laz,https://geodaten.bayern.de/odd_data/laser/591_5270.laz,81166984,06df048f81966bd1cfb2dc7506ad20b0e673c7543a8b266a7746b80fd15d8294,EPSG:25832,591000,5270000,592000,5271000,10.2100628,47.5768889,10.2235667,47.5860258,Regierungsbezirk Schwaben
592_5267.laz,https://geodaten.bayern.de/odd_data/laser/592_5267.laz,251594905,ce157ce128adc5c35090fcce1c6d79ccfc766c79b5aa09a466709e4f7eb1a876,EPSG:25832,592000,5267000,593000,5268000,10.2227289,47.5497590,10.2362278,47.5588973,Regierungsbezirk Schwaben
592_5268.laz,https://geodaten.bayern.de/odd_data/laser/592_5268.laz,224462142,fdbdd1cd96e0c2e8038ccbf9f450573cb0bf2eef100b206363306a44f4a3f056,EPSG:25832,592000,5268000,593000,5269000,10.2229382,47.5587548,10.2364395,47.5678931,Regierungsbezirk Schwaben
592_5269.laz,https://geodaten.bayern.de/odd_data/laser/592_5269.laz,141189557,f3fb1f901478ba9b826e54b2e360673c84fb207d74dcaf9230dd6f44ed72058f,EPSG:25832,592000,5269000,593000,5270000,10.2231476,47.5677505,10.2366513,47.5768889,Regierungsbezirk Schwaben
592_5270.laz,https://geodaten.bayern.de/odd_data/laser/592_5270.laz,87774658,4f5c38e5002d7fd7c6f08757698f695f1686dd831825844a884ed39531bf48bd,EPSG:25832,592000,5270000,593000,5271000,10.2233571,47.5767463,10.2368632,47.5858847,Regierungsbezirk Schwaben
